intent,response,utter_link,utter_send_link,utter_ask_more
UNDERSTANDING_DIVORCE-PARTNER,배우자와의 문제로 이혼하길 원하시는군요. / 배우자와의 사이가 좋지 않아 이혼하길 희망하시는군요. / 배우자와의 결혼 생활이 행복하지 않아 이혼하길 원하시는군요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=000&caseId=case-008-00601&listNm=%EC%A0%84%EC%B2%B4&searchCnd=0&searchWrd=%EC%9D%B4%ED%98%BC&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=000&caseId=case-011-00220&listNm=%EC%A0%84%EC%B2%B4&searchCnd=0&searchWrd=%EC%9D%B4%ED%98%BC&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=3&folderId=000&caseId=case-011-00223&listNm=%EC%A0%84%EC%B2%B4&searchCnd=0&searchWrd=%EC%9D%B4%ED%98%BC&scdFolderId=,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_DIVORCE-CHILD,아이 문제로 인해 이혼을 원하시나보군요. / 자녀 때문에 배우자와 이혼을 원하시는군요. / 배우자와 아이에 대한 의견차이로 인해 이혼하기를 원하시나보네요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=011&caseId=case-011-00109&listNm=%EC%B9%9C%EC%A1%B1&searchCnd=0&searchWrd=&scdFolderId=011007 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=2&folderId=011&caseId=case-011-00122&listNm=%EC%B9%9C%EC%A1%B1&searchCnd=0&searchWrd=&scdFolderId=011007 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=3&folderId=011&caseId=case-011-00179&listNm=%EC%B9%9C%EC%A1%B1&searchCnd=0&searchWrd=&scdFolderId=011007,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_DIVORCE-FAMILY,가족간의 불화로 인해 이혼을 희망하시는군요. / 가족으로 인해 배우자와 이혼하시길 원하는군요. / 가족과의 마찰로 인해 이혼을 원하시나보네요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다. 질문하신 내용에 대해서는 정확한 답변이 존재하지 않아 관련 상담사례를 보여드리겠습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=000&caseId=case-011-00264&listNm=%EC%A0%84%EC%B2%B4&searchCnd=0&searchWrd=%EC%96%B4%EB%A8%B8%EB%8B%88&scdFolderId=,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_DIVORCE-CHEATER,배우자가 바람을 펴 이혼을 희망하시나보네요. / 상대방이 당신을 속여서 이혼하시길 원하나보네요. / 당신을 속인 그 사람을 고소하고 싶으시군요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=011&caseId=case-011-00247&listNm=%EC%B9%9C%EC%A1%B1&searchCnd=0&searchWrd=&scdFolderId=011005 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=011&caseId=case-011-00250&listNm=%EC%B9%9C%EC%A1%B1&searchCnd=0&searchWrd=&scdFolderId=011005 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=000&caseId=case-018-00250&listNm=%EC%A0%84%EC%B2%B4&searchCnd=0&searchWrd=%EA%B0%84%ED%86%B5&scdFolderId=,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_DIVORCE-MONEY,배우자와 이혼 후 위자료에 대해 궁금하시군요. / 이혼 시 재산 분할에 대해 알고 싶으신가보네요. / 이혼 후 배우자에게서 위자료 받는 방법이 궁금하신가보네요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=011&caseId=case-011-00079&listNm=%EC%B9%9C%EC%A1%B1&searchCnd=0&searchWrd=&scdFolderId=011006 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=011&caseId=case-011-00244&listNm=%EC%B9%9C%EC%A1%B1&searchCnd=0&searchWrd=&scdFolderId=011005 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=011&caseId=case-011-00252&listNm=%EC%B9%9C%EC%A1%B1&searchCnd=0&searchWrd=&scdFolderId=011005,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_INHERIT-RIGHT,고인의 재산을 상속 받을 수 있는지 궁금하신가 보군요. / 유산을 상속 받을 권리가 있는지 알고 싶은가 보네요. / 유산을 상속 받을 수 있는지 알고 싶으신가보네요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=10&folderId=012&caseId=case-012-00167&listNm=%EC%83%81%EC%86%8D&searchCnd=0&searchWrd=&scdFolderId=012011 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=6&folderId=000&caseId=case-011-00041&listNm=%EC%A0%84%EC%B2%B4&searchCnd=0&searchWrd=%EC%83%81%EC%86%8D&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=6&folderId=000&caseId=case-012-00017&listNm=%EC%A0%84%EC%B2%B4&searchCnd=0&searchWrd=%EC%83%81%EC%86%8D&scdFolderId=,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_INHERIT-MONEY,상속을 얼마나 받을 수 있는지 궁금한가보네요. / 고인이 사망 후 상속 비율이 어떨게 되는지 알려드릴께요. / 유산에 대해 얼만큼 상속 받을 수 있는지 궁금하시군요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=012&caseId=case-012-00136&listNm=%EC%83%81%EC%86%8D&searchCnd=0&searchWrd=&scdFolderId=012017 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=2&folderId=012&caseId=case-012-00196&listNm=%EC%83%81%EC%86%8D&searchCnd=0&searchWrd=&scdFolderId=012014 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=012&caseId=case-012-00177&listNm=%EC%83%81%EC%86%8D&searchCnd=0&searchWrd=&scdFolderId=012012,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_INHERIT-DROP,상속을 포기하기를 원하시는군요. / 고인이 남긴 유산을 포기하고 싶으신가보네요. / 상속 포기를 원하시군요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=4&folderId=000&caseId=case-007-00050&listNm=%EC%A0%84%EC%B2%B4&searchCnd=0&searchWrd=%EC%83%81%EC%86%8D&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=000&caseId=case-012-00089&listNm=%EC%A0%84%EC%B2%B4&searchCnd=0&searchWrd=%EC%83%81%EC%86%8D%ED%8F%AC%EA%B8%B0&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=000&caseId=case-012-00099&listNm=%EC%A0%84%EC%B2%B4&searchCnd=0&searchWrd=%EC%83%81%EC%86%8D%ED%8F%AC%EA%B8%B0&scdFolderId=,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_INHERIT-WILL,유언 공증에 대해 알려드릴께요. / 유언 공증 관련해 궁금한 것이 있으시군요. / 유언에 대해 알고 싶으신 것이 있나보네요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=3&folderId=012&caseId=case-012-00229&listNm=%EC%83%81%EC%86%8D&searchCnd=0&searchWrd=&scdFolderId=012016 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=2&folderId=012&caseId=case-012-00220&listNm=%EC%83%81%EC%86%8D&searchCnd=0&searchWrd=&scdFolderId=012016 / ,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_LABOR-MONEY,임금체불때문에 어려움을 겪고 계시군요. / 임금체불 문제로 인해 고민이 많으시군요. / 임금을 정당하게 받지 못한 것을 해결하고 싶어하시는 군요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=001&caseId=case-001-00124&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%EC%B2%B4%EB%B6%88%EC%9E%84%EA%B8%88&scdFolderId=001002 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=001&caseId=case-001-00112&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%EC%9E%84%EA%B8%88%EC%B2%B4%EB%B6%88&scdFolderId=001002 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=001&caseId=case-001-00127&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%EC%9E%84%EA%B8%88%EC%B2%B4%EB%B6%88&scdFolderId=001002,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
